 	PRR0	PRR1	PRR2	PRR3	PRR4	GPP0
   0--	.....	.....	.....	.....	1#####	0*****
   1--	.....	.....	.....	.....	1#####	0*****
   2--	.....	.....	.....	.....	1#####	0*****
   3--	.....	.....	.....	.....	1#####	0*****
   4--	.....	.....	.....	2#####	1*****	......
   5--	.....	.....	.....	2#####	1*****	......
   6--	.....	.....	.....	2#####	1*****	......
   7--	.....	.....	.....	2#####	1*****	......
   8--	.....	.....	4#####	2*****	5*****	3*****
   9--	.....	.....	4#####	2*****	5*****	3*****
  10--	.....	.....	4#####	2*****	5*****	......
  11--	.....	.....	4#####	2*****	5*****	......
  12--	.....	6#####	4*****	7*****	14*****	......
  13--	.....	6#####	4*****	7*****	14*****	......
  14--	.....	6#####	4*****	7*****	14*****	......
  15--	.....	6#####	4*****	7*****	14*****	......
  16--	11#####	6*****	4*****	19*****	17*****	......
  17--	11#####	6*****	4*****	19*****	17*****	......
  18--	11#####	6*****	4*****	19*****	17*****	......
  19--	11*****	6*****	4*****	19*****	17*****	......
  20--	11*****	15*****	4*****	20*****	25*****	12*****
  21--	11*****	15*****	4*****	20*****	25*****	12*****
  22--	11*****	15*****	4*****	20*****	25*****	13*****
  23--	30*****	15*****	4*****	20*****	25*****	13*****
  24--	30*****	16*****	4*****	32*****	26*****	13*****
  25--	30*****	16*****	4*****	32*****	26*****	13*****
  26--	30*****	16*****	4*****	32*****	26*****	13*****
  27--	34*****	16*****	4*****	32*****	26*****	13*****
  28--	34*****	38*****	43*****	36*****	31*****	13*****
  29--	34*****	38*****	43*****	36*****	31*****	13*****
  30--	34*****	38*****	43*****	36*****	31*****	13*****
  31--	52*****	38*****	43*****	36*****	31*****	13*****
  32--	52*****	40*****	43*****	29*****	37*****	13*****
  33--	52*****	40*****	43*****	29*****	37*****	13*****
  34--	52*****	40*****	43*****	29*****	37*****	13*****
  35--	107*****	40*****	43*****	29*****	37*****	13*****
  36--	107*****	9*****	43*****	102*****	39*****	13*****
  37--	107*****	9*****	43*****	102*****	39*****	13*****
  38--	107*****	9*****	43*****	102*****	39*****	13*****
  39--	114*****	9*****	43*****	102*****	39*****	13*****
  40--	114*****	56*****	43*****	33*****	58*****	13*****
  41--	114*****	56*****	43*****	33*****	58*****	46*****
  42--	114*****	56*****	43*****	33*****	58*****	46*****
  43--	110*****	56*****	43*****	33*****	58*****	46*****
  44--	110*****	18*****	70*****	76#####	79*****	46*****
  45--	110*****	18*****	70*****	76#####	79*****	46*****
